City,State,ID
Angwin,CA,10
Anita,IA,6
Aniwa,WI,3
Ankeny,IA,101
Ann Arbor,MI,218
Anna,IL,4
Anna,OH,6
Anna,TX,5
Annandale,MN,1
Annandale,NJ,25
Annandale,VA,186
Annapolis,CA,3
Annapolis,MD,187
Annapolis Junction,MD,20
Annawan,IL,4
Anniston,AL,18
Annville,PA,49
Anoka,MN,34
Ansonia,CT,12
Ansonia,OH,1
Ansted,WV,1
Antelope,CA,89
Antelope,OR,14
Anthem,AZ,1
Anthony,FL,2
Antigo,WI,7
Antioch,CA,188
Antioch,IL,141
Antioch,TN,1372
Anton,TX,1
Anton Chico,NM,1
Antonito,CO,1
Antrim,NH,9
Antrim,PA,2
Antwerp,OH,2
Apache Junction,AZ,40
Apalachin,NY,1
Apex,NC,971
Apollo,PA,20
Apollo Beach,FL,73
Apopka,FL,191
Apple Creek,OH,8
Apple Valley,CA,56
Apple Valley,UT,2
Applegate,CA,22
Appleton,MN,3
Appleton,WI,102
Appling,GA,1
Appomattox,VA,13
Aptos,CA,170
Arab,AL,6
Arabi,GA,3
Ararat,VA,2
Arbuckle,CA,26
Arcadia,CA,261
Arcadia,FL,24
Arcadia,IN,2
Arcadia,LA,5
Arcadia,OK,1
Arcanum,OH,3
Arcata,CA,36
Arch Cape,OR,10
Archbold,OH,1
Archdale,NC,2
Archer,FL,6
Ardara,PA,1
Arden,NC,29
Ardmore,AL,6
Ardmore,OK,2
Ardmore,PA,72
Ardmore,TN,5
Ardsley,NY,27
Arenas Valley,NM,1
Argenta,IL,1
Argos,IN,1
Argyle,NY,3
Argyle,TX,17
Ariel,WA,3
Ariton,AL,2
Arkadelphia,AR,1
Arleta,CA,9
Arlington,AZ,1
Arlington,MA,11
Arlington,MN,4
Arlington,NE,1
Arlington,OR,90
Arlington,TN,86
Arlington,TX,751
Arlington,VA,582
Arlington,WA,171
Arlington,WI,4
Arlington Heights,IL,40
Armagh,PA,2
Armona,CA,1
Armonk,NY,89
Armuchee,GA,2
Arnold,CA,23
Arnold,MD,6
Arnold,MO,54
Aroda,VA,1
Aromas,CA,47
Arona,PA,1
Arrington,TN,4
Arrington,VA,3
Arroyo Grande,CA,106
Artesia,CA,131
Artesia,NM,2
Arundel,ME,3
Arvada,CO,160
Arvin,CA,30
Arvonia,VA,1
Asbury,NJ,33
Asbury,WV,3
Asbury Park,NJ,20
Ascutney,VT,1
Ash Fork,AZ,19
Ash Grove,MO,11
Ashaway,RI,5
Ashburn,GA,6
Ashburn,VA,222
Ashburnham,MA,2
Ashby,MA,6
Ashby,MN,6
Asheboro,NC,15
Asheville,NC,210
Ashfield,MA,1
Ashford,CT,3
Ashford,WA,1
Ashkum,IL,2
Ashland,KY,2
Ashland,MA,9
Ashland,MO,1
Ashland,NE,6
Ashland,NH,4
Ashland,OH,16
Ashland,OR,303
Ashland,PA,7
Ashland,VA,173
Ashland,WI,3
Ashland City,TN,8
Ashley,OH,10
Ashley,PA,1
Ashtabula,OH,9
Ashton,ID,1
Ashton,IL,1
Ashton,MD,3
Ashuelot,NH,1
Ashville,AL,11
Ashville,OH,6
Ashville,PA,2
Aspen,CO,3
Assonet,MA,14
Aston,PA,37
Astor,FL,8
Astoria,NY,124
Astoria,OR,138
Atalissa,IA,3
Atascadero,CA,77
Atco,NJ,6
Athena,OR,7
Athens,AL,35
Athens,GA,31
Athens,ME,1
Athens,NY,2
Athens,OH,5
Athens,TN,9
Athens,VT,1
Atherton,CA,11
Athol,ID,3
Athol,MA,7
Atkins,AR,2
Atkins,VA,5
Atkinson,NH,2
Atlanta,GA,11469
Atlanta,IL,1
Atlanta,IN,2
Atlanta,NY,1
Atlantic,IA,12
Atlantic Beach,SC,1
Atlantic City,NJ,46
Atlantic Highlands,NJ,7
Atmore,AL,23
Atoka,OK,1
Atoka,TN,2
Attalla,AL,9
Attapulgus,GA,3
Attica,IN,2
Attica,MI,1
Attica,NY,1
Attica,OH,3
Attleboro,MA,86
Attleboro Falls,MA,35
Atwater,CA,86
Atwater,MN,1
Atwood,CO,2
Atwood,OK,2
Atwood,TN,1
Auberry,CA,5
Aubrey,TX,8
Auburn,AL,40
Auburn,CA,214
Auburn,IN,4
Auburn,MA,63
Auburn,ME,12
Auburn,MI,3
Auburn,NE,5
Auburn,NH,5
Auburn,NY,2
Auburn,WA,296
Auburn Hills,MI,125
Auburndale,FL,11
Auburndale,MA,9
Auburntown,TN,2
Audubon,MN,2
Audubon,NJ,9
Augusta,GA,2443
Augusta,ME,31
Augusta,MO,1
Augusta,NJ,4
Augusta,WI,3
Ault,CO,9
Aumsville,OR,15
Aurora,CO,1024
Aurora,IL,53
Aurora,IN,7
Aurora,ME,2
Aurora,NE,4
Aurora,OR,179
Austell,GA,110
Austerlitz,NY,16
Austin,CO,3
Austin,IN,6
Austin,MN,20
Austin,NV,18
Austin,PA,1
Austin,TX,16103
Austinville,VA,36
Avalon,WI,1
Avalon-Mulat,FL,7
Avenal,CA,33
Avenel,NJ,9
Aventura,FL,3
Averill Park,NY,17
Avinger,TX,2
Avoca,IA,11
Avoca,MN,2
Avoca,NY,1
Avoca,WI,4
Avon,CO,9
Avon,CT,7
Avon,IN,133
Avon,MA,42
Avon,MN,10
Avon,NC,1
Avon,NY,3
Avon,OH,16
Avon Lake,OH,1
Avon Park,FL,8
Avondale,AZ,287
Avondale Estates,GA,26
Avonmore,PA,6
Awendaw,SC,1
Axis,AL,12
Axtell,UT,1
Axton,VA,2
Ayden,NC,1
Ayer,MA,3
Aylett,VA,4
Aynor,SC,58
Azalea,OR,16
Aztec,NM,1
Azusa,CA,455
Babylon,NY,15
Backus,MN,7
Bacliff,TX,2
Badger,CA,2
Badger,MN,1
Bagley,IA,3
Bagley,MN,1
Bahama,NC,1
Bailey,CO,12
Bailey,MI,1
Bailey,NC,1
Baileys Harbor,WI,1
Baileyton,AL,1
Bainbridge,GA,8
Bainbridge,IN,1
Bainbridge,OH,3
Bainbridge,PA,2
Bainbridge Island,WA,1
Baird,TX,4
Baker,FL,10
Baker,LA,147
Baker,NV,4
Baker City,OR,121
Bakersfield,CA,1235
Bal Harbour,FL,1
Bala Cynwyd,PA,206
Balch Springs,TX,141
Bald Knob,AR,1
Baldwin,FL,2
Baldwin,MD,1
Baldwin,MI,5
Baldwin,NY,8
Baldwin,WI,8
Baldwin Park,CA,1183
Baldwinsville,NY,10
Baldwinville,MA,3
Ball Ground,GA,10
Ballico,CA,8
Ballinger,TX,1
Ballston Lake,NY,77
Ballston Spa,NY,147
Ballwin,MO,18
Bally,PA,1
Balmorhea,TX,4
Baltic,CT,1
Baltimore,MD,861
Baltimore,OH,11
Bamberg,SC,23
Bancroft,IA,1
Bancroft,ID,4
Bancroft,MI,8
Bancroft,WI,4
Bandera,TX,1
Bandon,OR,53
Bandy,VA,3
Bangor,CA,2
Bangor,ME,12
Bangor,MI,2
Bangor,PA,1
Banks,ID,2
Banks,OR,47
Bannockburn,IL,1
Bantam,CT,3
Bar Harbor,ME,4
Baraboo,WI,15
Barberton,OH,42
Barboursville,VA,10
Barboursville,WV,11
Barclay,MD,1
Bardstown,KY,2
Bargersville,IN,1
Barhamsville,VA,5
Barker,NY,3
Barkhamsted,CT,1
Barksdale AFB,LA,11
Barnegat,NJ,23
Barneston,NE,1
Barnesville,GA,12
Barnesville,MD,1
Barnesville,OH,10
Barnesville,PA,2
Barneveld,NY,12
Barnhart,MO,19
Barnstable,MA,1
Barnstead,NH,1
Barnum,MN,14
Barnwell,SC,45
Barre,MA,5
Barrington,IL,279
Barrington,NH,3
Barrington,NJ,60
Barrington,RI,3
Barron,WI,2
Barstow,CA,57
Barstow,TX,1
Bartelso,IL,1
Bartlett,IL,325
Bartlett,NH,1
Bartlett,TX,1
Barto,PA,5
Bartonsville,PA,2
Bartow,FL,13
Basalt,CO,1
Bascom,FL,6
Basile,LA,1
Baskerville,VA,6
Basking Ridge,NJ,30
Basom,NY,3
Bass Lake,CA,2
Bassett,NE,1
Bassett,VA,14
Bastian,VA,9
Bastrop,LA,2
Bastrop,TX,5
Batavia,IA,2
Batavia,IL,10
Batavia,NY,64
Batavia,OH,30
Bates,OR,10
Bates City,MO,8
Batesburg,SC,99
Batesville,AR,1
Batesville,IN,2
Batesville,MS,5
Bath,ME,1
Bath,MI,1
Bath,NY,3
Bath,PA,1
Baton Rouge,LA,11982
Battle Creek,MI,62
Battle Ground,WA,15
Battle Lake,MN,6
Battle Mountain,NV,20
Battleboro,NC,3
Battlefield,MO,1
Baudette,MN,1
Bauxite,AR,1
Baxley,GA,2
Baxter,TN,10
Baxter Springs,KS,1
Bay City,MI,76
Bay City,OR,17
Bay City,WI,1
Bay Harbor Islands,FL,1
Bay Head,NJ,1
Bay Minette,AL,47
Bay Point,CA,50
Bay Saint Louis,MS,29
Bay Shore,NY,156
Bay Village,OH,1
Bayonne,NJ,44
Bayou La Batre,AL,1
Bayou la Batre,AL,1
Bayport,MN,4
Bayport,NY,13
Bayside,CA,2
Bayside,NY,59
Baytown,TX,68
Bayville,NJ,24
Bayville,NY,1
Beach City,OH,1
Beach Park,IL,48
Beachwood,NJ,4
Beachwood,OH,29
Beacon,NY,105
Beacon Falls,CT,13
Bealeton,VA,16
Bear,DE,102
Bear Creek,NC,4
Bear Creek,WI,1
Bear Lake,MI,2
Bear Mountain,NY,9
Bearden,AR,3
Beasley,TX,5
Beatrice,NE,2
Beatty,OR,9
Beaufort,MO,1
Beaufort,SC,349
Beaumont,MS,2
Beaumont,TX,36
Beaver,OH,1
Beaver,OR,1
Beaver,PA,1
Beaver,UT,35
Beaver,WA,2
Beaver,WV,3
Beaver Creek,MN,2
Beaver Crossing,NE,6
Beaver Dam,KY,2
Beaver Dam,WI,6
Beaver Dams,NY,1
Beaver Falls,PA,10
Beaver Meadows,PA,2
Beaver Springs,PA,1
Beavercreek,OH,8
Beaverdam,VA,1
Beaverton,OR,216
Beaverton-Hillsboro,OR,1
Bechtelsville,PA,3
Becker,MN,13
Becket,MA,3
Beckley,WV,6
Beckville,TX,5
Beckwourth,CA,3
Bedford,MA,31
Bedford,NH,50
Bedford,NY,6
Bedford,OH,129
Bedford,PA,51
Bedford,TX,104
Bedford,VA,20
Bedford Hills,NY,9
Bedminster,NJ,94
Bee,VA,1
Bee Branch,AR,1
Bee Cave,TX,7
Beebe,AR,4
Beech Creek,PA,4
Beech Grove,IN,38
Beech Island,SC,112
Beecher,IL,2
Beechgrove,TN,10
Beeville,TX,2
Beggs,OK,4
Bel Air,MD,139
Belcamp,MD,12
Belcher,LA,4
Belchertown,MA,6
Belding,MI,1
Belen,NM,2
Belews Creek,NC,4
Belfair,WA,20
Belfast,NY,1
Belford,NJ,1
Belgium,WI,2
Belgrade,MN,3
Belgrade,MO,1
Belgrade,MT,3
Belington,WV,1
Bell,CA,6
Bell Buckle,TN,1
Bell Gardens,CA,252
Bella Vista,CA,17
Bellaire,OH,7
Bellaire,TX,125
Bellbrook,OH,2
Belle,WV,8
Belle Glade,FL,4
Belle Mead,NJ,3
Belle Plaine,IA,2
Belle Plaine,KS,2
Belle Plaine,MN,24
Belle Vernon,PA,42
Belleair,FL,2
Belleair Beach,FL,1
Belleair Bluffs,FL,4
Bellefontaine,OH,2
Bellefonte,DE,1
Bellefonte,PA,67
Bellerose,NY,44
Belleview,FL,23
Belleville,IL,9
Belleville,MI,99
Belleville,NJ,20
Belleville,PA,5
Belleville,WI,6
Bellevue,IA,1
Bellevue,ID,2
Bellevue,KY,2
Bellevue,MI,4
Bellevue,NE,377
Bellevue,OH,8
Bellevue,PA,1
Bellevue,WA,721
Bellflower,CA,278
Bellingham,MA,15
Bellingham,WA,299
Bellmawr,NJ,194
Bellmore,NY,59
Bellows Falls,VT,8
Bellport,NY,14
Bells,TN,4
Bells,TX,1
Bellville,OH,1
Bellvue,CO,3
Bellwood,IL,23
Belmar,NJ,56
Belmont,CA,115
Belmont,MA,16
Belmont,ME,1
Belmont,MI,21
Belmont,NC,76
Belmont,NH,9
Belmont,NY,3
Belmont,OH,5
Beloit,WI,54
Belpre,OH,1
Belton,MO,41
Belton,SC,165
Belton,TX,15
Beltsville,MD,119
Belvedere Tiburon,CA,7
Belvidere,IL,37
Belvidere,NE,1
Belvidere,NJ,24
Bemidji,MN,10
Ben Lomond,CA,22
Bena,MN,1
Benbrook,TX,1
Bend,OR,448
Benicia,CA,156
Bennett,CO,13
Bennettsville,SC,111
Bennington,NE,20
Bennington,NH,4
Bennington,VT,5
Bensalem,PA,150
Bensenville,IL,17
Benson,AZ,1
Benson,MN,2
Benson,NC,89
Bentleyville,PA,9
Benton,AR,9
Benton,CA,1
Benton,IL,9
Benton,MO,1
Benton City,WA,1
Benton Harbor,MI,45
Bentonia,MS,2
Bentonville,AR,1
Benwood,WV,1
Berea,KY,3
Bergenfield,NJ,6
Berkeley,CA,566
Berkeley,IL,99
Berkeley Heights,NJ,28
Berkley,MA,7
Berkley,MI,2
Berlin,CT,15
Berlin,MA,12
Berlin,MD,8
Berlin,NJ,47
Berlin,PA,11
Berlin Heights,OH,2
Bermuda,VA,3
Bernalillo,NM,4
Bernardston,MA,4
Bernardsville,NJ,2
Berne,NY,1
Bernville,PA,15
Berrien Springs,MI,5
Berry,AL,3
Berry Creek,CA,5
Berryville,VA,12
Bertha,MN,1
Berthoud,CO,28
Bertram,TX,2
Berwick,PA,2
Berwyn,IL,51
Berwyn,PA,15
Berwyn Heights,MD,1
Beryl,UT,3
Bessemer,AL,153
Bessemer City,NC,7
Bethalto,IL,2
Bethany,CT,6
Bethany,LA,4
Bethany,OK,46
Bethany Beach,DE,1
Bethel,CT,2
Bethel,MN,1
Bethel,NC,1
Bethel,OH,1
Bethel,PA,9
Bethel Island,CA,2
Bethel Park,PA,1
Bethesda,MD,287
Bethesda,OH,1
Bethlehem,CT,5
Bethlehem,GA,4
Bethlehem,NH,1
Bethlehem,PA,136
Bethpage,NY,31
Bethpage,TN,3
Bethune,CO,1
Bethune,SC,15
Bettendorf,IA,39
Beverly,MA,16
Beverly,NJ,7
Beverly,OH,1
Beverly Hills,CA,17
Beverly Hills,FL,13
Biddeford,ME,19
Big Bar,CA,3
Big Bear City,CA,3
Big Bend,WI,5
Big Cabin,OK,2
Big Lake,MN,15
Big Pine,CA,8
Big Pine Key,FL,15
Big Pool,MD,9
Big Rapids,MI,3
Big Rock,IL,1
Big Spring,TX,13
Big Springs,NE,1
Big Stone Gap,VA,4
Big Sur,CA,31
Big Timber,MT,2
Bigelow,AR,1
Bigelow,MN,2
Bigfork,MN,2
Biggs,CA,22
Biglerville,PA,3
Billerica,MA,228
Billings,MT,5
Billings,OK,1
Billingsley,AL,4
Biloxi,MS,60
Bingen,WA,4
Bingham,ME,2
Bingham Farms,MI,1
Bingham Lake,MN,3
Binghamton,NY,34
Birch Run,MI,12
Birchwood,TN,2
Bird In Hand,PA,1
Bird Island,MN,2
Bird in Hand,PA,2
Birds Landing,CA,1
Birdsboro,PA,21
Birdseye,IN,1
Birdsnest,VA,1
Birmingham,AL,3253
Birmingham,MI,1
Biscoe,AR,5
Biscoe,NC,1
Bishop,CA,34
Bishop,TX,1
Bishopville,MD,4
Bishopville,SC,224
Bismarck,ND,1
Bison,OK,1
Bixby,OK,14
Black Canyon City,AZ,76
Black Creek,WI,1
Black Diamond,WA,7
Black Earth,WI,2
Black Forest-Peyton,CO,30
Black Hawk,CO,10
Black Mountain,NC,22
Black River Falls,WI,12
Black Rock,AR,2
Blackduck,MN,3
Blackfoot,ID,3
Blacklick,OH,14
Blacksburg,SC,201
Blacksburg,VA,7
Blackshear,GA,1
Blackstock,SC,19
Blackstone,VA,17
Blackville,SC,26
Blackwater,MO,2
Blackwell,OK,1
Blackwood,NJ,136
Bladensburg,MD,2
Blaine,WA,27
Blair,NE,13
Blair,SC,16
Blair,WI,1
Blairs,VA,10
Blairsburg,IA,2
Blairsden Graeagle,CA,13
Blairstown,NJ,52
Blairsville,GA,4
Blairsville,PA,9
Blakely,GA,2
Blakeslee,PA,7
Blanchard,OK,1
Blanchardville,WI,2
Blanchester,OH,7
Blanco,TX,1
Bland,VA,23
Blandford,MA,10
Blanding,UT,8
Blandinsville,IL,3
Blauvelt,NY,1
Blenheim,SC,12
Bliss,ID,3
Blissfield,MI,2
Blodgett,OR,12
Bloomer,WI,4
Bloomfield,CT,8
Bloomfield,IA,2
Bloomfield,IN,4
Bloomfield,KY,1
Bloomfield,NJ,189
Bloomfield Hills,MI,13
Blooming Prairie,MN,6
Bloomingburg,OH,2
Bloomingdale,GA,27
Bloomingdale,IL,6
Bloomingdale,NJ,1
Bloomington,CA,350
Bloomington,IL,10
Bloomington,IN,14
Bloomsburg,PA,12
Bloomsbury,NJ,15
Bloomsdale,MO,2
Blossburg,PA,1
Blossvale,NY,11
Blountstown,FL,11
Blountsville,AL,71
Blountville,TN,12
Bloxom,VA,2
Blue Ash,OH,15
Blue Bell,PA,129
Blue Earth,MN,13
Blue Grass,IA,2
Blue Island,IL,19
Blue Jay,CA,2
Blue Lake,CA,19
Blue Mounds,WI,1
Blue Point,NY,1
Blue Ridge,GA,2
Blue Ridge,VA,2
Blue River,OR,232
Blue Springs,MO,51
Blue Springs,MS,1
Blue Springs,NE,1
Bluefield,VA,2
Bluefield,WV,18
Bluemont,VA,12
Bluff City,TN,1
Bluffton,OH,4
Bluffton,SC,230
Bluford,IL,1
Bly,OR,1
Blythe,CA,30
Blythe,GA,19
Blytheville,AR,5
Blythewood,SC,281
Boalsburg,PA,20
Boardman,OR,28
Boaz,AL,7
Boca Grande,FL,2
Boca Raton,FL,470
Bodega,CA,3
Bodega Bay,CA,22
Bodfish,CA,3
Boerne,TX,12
Bogalusa,LA,1
Bogart,GA,4
Boggstown,IN,3
Bogota,NJ,2
Bogue Chitto,MS,2
Bohemia,NY,51
Boiceville,NY,1
Boiling Springs,SC,504
Bois D Arc,MO,3
Boise,ID,57
Bokeelia,FL,6
Boligee,AL,6
Bolinas,CA,7
Bolingbrook,IL,90
Bolivar,MO,1
Bolivar,PA,2
Bolivia,NC,1
Bolton,CT,11
Bolton,MA,22
Bolton,MS,13
Bolton,NC,2
Bolton Landing,NY,2
Bon Aqua,TN,2
Bon Secour,AL,1
Bonaire,GA,13
Bonanza,OR,38
Bond,CO,2
Bondurant,IA,15
Bondville,VT,4
Bonham,TX,1
Bonifay,FL,41
Bonita,CA,17
Bonita Springs,FL,206
Bonne Terre,MO,4
Bonneau,SC,47
Bonner Springs,KS,26
Bonners Ferry,ID,2
Bonney Lake,WA,15
Bonnie,IL,1
Bonnieville,KY,3
Bono,AR,1
Bonsall,CA,73
Boone,CO,6
Boone,IA,3
Boones Mill,VA,21
Booneville,MS,2
Boonsboro,MD,13
Boonton,NJ,10
Boonville,CA,6
Boonville,MO,22
Boonville,NC,1
Boonville,NY,19
Borden,IN,2
Bordentown,NJ,123
Borger,TX,4
Boring,OR,34
Boron,CA,49
Boscawen,NH,1
Bosler,WY,1
Bosque Farms,NM,5
Bossier City,LA,137
Boston,MA,536
Boston,NY,1
Boswell,PA,2
Bothell,WA,358
Botkins,OH,7
Boulder,CO,89
Boulder,MT,6
Boulder,UT,7
Boulder Creek,CA,75
Bound Brook,NJ,17
Bountiful,UT,64
Bourbon,MO,1
Bourbonnais,IL,1
Bouse,AZ,11
Bovey,MN,2
Bow,NH,43
Bow,WA,30
Bowdoinham,ME,11
Bowdon,GA,2
Bowie,AZ,4
Bowie,MD,90
Bowie,TX,2
Bowler,WI,1
Bowling Green,FL,7
Bowling Green,IN,1
Bowling Green,KY,19
Bowling Green,OH,9
Bowling Green,VA,17
Bowman,GA,1
Bowman,SC,237
Bowmansville,NY,1
Box Springs,GA,1
Boxborough,MA,17
Boxford,MA,20
Boyce,LA,2
Boyce,VA,6
Boyds,MD,11
Boydton,VA,6
Boyertown,PA,5
Boykins,VA,3
Boylston,MA,2
Boyne City,MI,1
Boynton Beach,FL,378
Boys Town,NE,50
Bozeman,MT,4
Bozrah,CT,2
Braceville,IL,4
Bracey,VA,17
Brackettville,TX,1
Braddock,PA,4
Bradenton,FL,768
Bradford,NH,5
Bradford,PA,1
Bradford,RI,1
Bradford,TN,1
Bradford,VT,1
Bradfordwoods,PA,1
Bradley,CA,20
Bradley,IL,1
Bradley,SC,20
Bradley Beach,NJ,1
Bradner,OH,4
Brady,TX,1
Braham,MN,1
Braidwood,IL,2
Brainerd,MN,20
Braintree,MA,127
Braman,OK,3
Branchburg,NJ,1
Branchville,NJ,6
Branchville,SC,28
Brandon,FL,139
Brandon,IA,6
Brandon,MN,5
Brandon,MS,20
Brandon,SD,1
Brandy Station,VA,2
Brandywine,MD,47
Brandywine,WV,3
Branford,CT,72
Branford,FL,1
Braselton,GA,42
Brattleboro,VT,14
Braxton,MS,2
Brayton,IA,3
Brazil,IN,17
Brazoria,TX,2
Brea,CA,272
Breaux Bridge,LA,94
Breckenridge,CO,22
Brecksville,OH,12
Breezewood,PA,46
Breinigsville,PA,5
Bremen,AL,4
Bremen,GA,32
Bremen,IN,4
Bremen,OH,1
Bremerton,WA,63
Brent,AL,5
Brentwood,CA,150
Brentwood,MD,2
Brentwood,NH,4
Brentwood,NY,119
Brentwood,TN,440
Brevard,NC,1
Brewer,ME,3
Brewerton,NY,4
Brewster,MA,4
Brewster,MN,14
Brewster,NY,386
Brewton,AL,23
Brian Head,UT,6
Briarcliff Manor,NY,70
Brick,NJ,61
Bridal Veil,OR,12
Bridge City,TX,1
Bridgeboro,GA,1
Bridgehampton,NY,1
Bridgeport,CA,7
Bridgeport,CT,260
Bridgeport,MI,22
Bridgeport,NJ,12
Bridgeport,NY,2
Bridgeport,OH,1
Bridgeport,PA,19
Bridgeport,WV,12
Bridgeton,MO,187
Bridgeton,NJ,17
Bridgeview,IL,56
Bridgeville,CA,9
Bridgeville,DE,2
Bridgeville,PA,52
Bridgewater,MA,46
Bridgewater,ME,1
Bridgewater,NJ,59
Bridgewater,VA,3
Bridgman,MI,10
Bridport,VT,1
Brielle,NJ,1
Brier,WA,2
Brigantine,NJ,2
Briggsdale,CO,1
Brigham City,UT,98
Brighton,CO,131
Brighton,MA,31
Brighton,MI,132
Brighton,TN,3
Brightwaters,NY,1
Brightwood,OR,3
Brilliant,AL,1
Brillion,WI,1
Brimfield,MA,3
Brinkhaven,OH,2
